secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
2,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
3,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
4,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
5,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
6,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
7,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
8,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
9,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
10,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
11,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
12,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
13,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
14,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
15,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
16,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
17,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
18,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
19,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
20,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
21,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
22,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
23,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
24,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
25,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
26,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
27,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
28,0,87,0,0,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
29,0,87,0.00044,1.5804,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
30,0,87,0.00115,2.5524,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
31,0,87,0.00205,3.258,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
32,0,87,0.00312,3.8304,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
33,0,87,0.00432,4.3344,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
34,0,86,0.00563,4.7016,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
35,0,86,0.00699,4.9032,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
36,0,86,0.0084,5.0724,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
37,0,86,0.00987,5.3064,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
38,0,86,0.01159,6.1812,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
39,0,86,0.01362,7.3224,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
40,0,86,0.0164,9.9756,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
41,0,112,0.01942,10.8828,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
42,0,112,0.0225,11.1168,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
43,0,112,0.0257,11.52,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
44,0,112,0.0301,12.0924,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
45,0,112,0.03284,12.0924,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
46,0,112,0.03565,11.52,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
47,0,112,0.03878,11.286,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
48,0,112,0.04189,11.1852,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
49,0,112,0.04505,11.3868,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
50,0,112,0.04824,11.4876,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
51,0,112,0.05144,11.52,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
52,0,112,0.05464,11.52,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
53,0,112,0.05784,11.52,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
54,0,112,0.06103,11.4876,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
55,0,129,0.06421,11.4552,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
56,0,136,0.06739,11.4192,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
57,0,152,0.07055,11.3868,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
58,0,168,0.07372,11.4192,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
59,0,166,0.07689,11.4192,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
