,time,power,ribcage,abdomen,heartrate,calories
978,97.9,99.0,1723.0,1669.0,91.0,640.0
979,98.0,99.0,1723.0,1647.0,91.0,640.0
980,98.1,99.0,1716.0,1625.0,91.0,640.0
981,98.2,99.0,1714.0,1630.0,91.0,640.0
982,98.3,99.0,1725.0,1660.0,91.0,640.0
983,98.4,99.0,1703.0,1663.0,91.0,640.0
984,98.5,99.0,1709.0,1669.0,91.0,640.0
985,98.6,99.0,1721.0,1672.0,91.0,640.0
986,98.7,99.0,1720.0,1667.0,91.0,640.0
987,98.8,99.0,1739.0,1697.0,91.0,640.0
988,98.9,99.0,1744.0,1740.0,91.0,640.0
989,99.0,99.0,1743.0,1758.0,91.0,640.0
990,99.1,99.0,1760.0,1763.0,91.0,640.0
991,99.2,99.0,1757.0,1760.0,91.0,640.0
992,99.3,99.0,1746.0,1756.0,91.0,640.0
993,99.4,99.0,1758.0,1778.0,91.0,640.0
994,99.5,128.0,1757.0,1780.0,91.0,740.0
995,99.6,128.0,1742.0,1704.0,91.0,740.0
996,99.7,128.0,1739.0,1639.0,91.0,740.0
997,99.8,128.0,1725.0,1597.0,91.0,740.0
998,99.9,128.0,1715.0,1590.0,91.0,740.0
999,100.0,128.0,1723.0,1595.0,91.0,740.0
1000,100.1,128.0,1723.0,1591.0,91.0,740.0
1001,100.2,128.0,1716.0,1588.0,91.0,740.0
1002,100.3,128.0,1705.0,1589.0,91.0,740.0
1003,100.4,128.0,1720.0,1584.0,91.0,740.0
1004,100.5,128.0,1714.0,1585.0,91.0,740.0
1005,100.6,128.0,1705.0,1591.0,91.0,740.0
1006,100.7,128.0,1717.0,1595.0,91.0,740.0
1007,100.8,128.0,1726.0,1666.0,91.0,740.0
1008,100.9,128.0,1757.0,1732.0,91.0,740.0
1009,101.0,128.0,1765.0,1754.0,91.0,740.0
1010,101.1,128.0,1762.0,1745.0,91.0,740.0
1011,101.2,128.0,1776.0,1735.0,91.0,740.0
1012,101.3,128.0,1773.0,1736.0,91.0,740.0
1013,101.4,128.0,1758.0,1767.0,91.0,740.0
1014,101.5,142.0,1769.0,1772.0,91.0,789.0
1015,101.6,142.0,1758.0,1756.0,91.0,789.0
1016,101.7,142.0,1745.0,1736.0,91.0,789.0
1017,101.8,142.0,1758.0,1724.0,91.0,789.0
1018,101.9,142.0,1747.0,1711.0,91.0,789.0
1019,102.0,142.0,1747.0,1695.0,91.0,789.0
1020,102.1,142.0,1752.0,1673.0,91.0,789.0
1021,102.2,142.0,1736.0,1665.0,91.0,789.0
1022,102.3,142.0,1727.0,1687.0,91.0,789.0
1023,102.4,142.0,1732.0,1704.0,91.0,789.0
1024,102.5,142.0,1726.0,1715.0,91.0,789.0
1025,102.6,142.0,1728.0,1719.0,93.0,789.0
1026,102.7,142.0,1737.0,1724.0,93.0,789.0
1027,102.8,142.0,1741.0,1747.0,93.0,789.0
1028,102.9,142.0,1750.0,1792.0,93.0,789.0
1029,103.0,142.0,1757.0,1814.0,93.0,789.0
1030,103.1,142.0,1754.0,1808.0,93.0,789.0
1031,103.2,142.0,1759.0,1817.0,93.0,789.0
1032,103.3,142.0,1760.0,1848.0,93.0,789.0
1033,103.4,147.0,1755.0,1870.0,93.0,807.0
1034,103.5,147.0,1757.0,1845.0,93.0,807.0
1035,103.6,147.0,1754.0,1811.0,95.0,807.0
1036,103.7,147.0,1757.0,1793.0,95.0,807.0
1037,103.8,147.0,1764.0,1791.0,95.0,807.0
1038,103.9,147.0,1761.0,1778.0,95.0,807.0
1039,104.0,147.0,1756.0,1755.0,95.0,807.0
1040,104.1,147.0,1755.0,1731.0,95.0,807.0
1041,104.2,147.0,1739.0,1731.0,95.0,807.0
1042,104.3,147.0,1739.0,1733.0,95.0,807.0
1043,104.4,147.0,1733.0,1721.0,95.0,807.0
1044,104.5,147.0,1735.0,1690.0,95.0,807.0
1045,104.6,147.0,1736.0,1665.0,98.0,807.0
1046,104.7,147.0,1734.0,1655.0,98.0,807.0
1047,104.8,147.0,1735.0,1670.0,98.0,807.0
1048,104.9,147.0,1738.0,1702.0,98.0,807.0
1049,105.0,147.0,1737.0,1716.0,98.0,807.0
