,time,power,ribcage,abdomen,heartrate,calories
2768,276.9,0.0,1521.0,1622.0,94.0,0.0
2769,277.0,0.0,1523.0,1617.0,94.0,0.0
2770,277.1,0.0,1528.0,1609.0,94.0,0.0
2771,277.2,0.0,1536.0,1626.0,94.0,0.0
2772,277.3,0.0,1542.0,1622.0,94.0,0.0
2773,277.4,0.0,1543.0,1618.0,94.0,0.0
2774,277.5,72.0,1543.0,1631.0,94.0,548.0
2775,277.6,72.0,1548.0,1633.0,94.0,548.0
2776,277.7,72.0,1544.0,1639.0,94.0,548.0
2777,277.8,72.0,1542.0,1633.0,94.0,548.0
2778,277.9,72.0,1540.0,1628.0,94.0,548.0
2779,278.0,72.0,1544.0,1641.0,94.0,548.0
2780,278.1,72.0,1545.0,1629.0,94.0,548.0
2781,278.2,72.0,1535.0,1624.0,94.0,548.0
2782,278.3,72.0,1531.0,1624.0,94.0,548.0
2783,278.4,72.0,1533.0,1627.0,94.0,548.0
2784,278.5,72.0,1528.0,1622.0,94.0,548.0
2785,278.6,72.0,1535.0,1617.0,94.0,548.0
2786,278.7,72.0,1536.0,1621.0,94.0,548.0
2787,278.8,72.0,1528.0,1620.0,94.0,548.0
2788,278.9,72.0,1525.0,1615.0,94.0,548.0
2789,279.0,72.0,1531.0,1618.0,94.0,548.0
2790,279.1,72.0,1532.0,1617.0,94.0,548.0
2791,279.2,72.0,1535.0,1620.0,94.0,548.0
2792,279.3,72.0,1539.0,1618.0,94.0,548.0
2793,279.4,72.0,1547.0,1631.0,95.0,548.0
2794,279.5,72.0,1562.0,1631.0,95.0,548.0
2795,279.6,72.0,1569.0,1625.0,95.0,548.0
2796,279.7,72.0,1570.0,1633.0,95.0,548.0
2797,279.8,81.0,1564.0,1632.0,95.0,580.0
2798,279.9,81.0,1560.0,1632.0,95.0,580.0
2799,280.0,81.0,1548.0,1639.0,95.0,580.0
2800,280.1,81.0,1550.0,1639.0,95.0,580.0
2801,280.2,81.0,1547.0,1631.0,95.0,580.0
2802,280.3,81.0,1542.0,1635.0,95.0,580.0
2803,280.4,81.0,1534.0,1635.0,97.0,580.0
2804,280.5,81.0,1540.0,1631.0,97.0,580.0
2805,280.6,81.0,1540.0,1621.0,97.0,580.0
2806,280.7,81.0,1540.0,1626.0,97.0,580.0
2807,280.8,81.0,1550.0,1635.0,97.0,580.0
2808,280.9,81.0,1548.0,1630.0,97.0,580.0
2809,281.0,81.0,1538.0,1641.0,97.0,580.0
2810,281.1,81.0,1543.0,1637.0,97.0,580.0
2811,281.2,81.0,1543.0,1640.0,97.0,580.0
2812,281.3,81.0,1546.0,1643.0,97.0,580.0
2813,281.4,81.0,1545.0,1639.0,98.0,580.0
2814,281.5,81.0,1548.0,1649.0,98.0,580.0
2815,281.6,81.0,1552.0,1648.0,98.0,580.0
2816,281.7,81.0,1552.0,1644.0,98.0,580.0
2817,281.8,81.0,1554.0,1657.0,98.0,580.0
2818,281.9,81.0,1559.0,1656.0,98.0,580.0
