
1610290033353,rr,1343,
1610290033353,heartrate,57,
1610290034343,rr,1192,
1610290034343,heartrate,57,
1610290035352,rr,1209,
1610290035352,heartrate,57,
1610290036355,rr,1035,
1610290036355,heartrate,57,
1610290037358,rr,1081,
1610290037358,heartrate,57,
1610290038351,heartrate,57,
1610290039354,rr,1343,
1610290039354,heartrate,57,
1610290040359,rr,1083,
1610290040359,heartrate,57,
1610290041350,rr,916,
1610290041350,heartrate,57,
1610290042445,rr,921,
1610290042445,rr,931,
1610290042445,heartrate,56,
1610290043446,heartrate,56,
1610290044444,rr,1337,
1610290044444,heartrate,56,
1610290045441,rr,1308,
1610290045441,heartrate,56,
1610290046437,rr,973,
1610290046437,heartrate,56,
1610290047436,rr,901,
1610290047436,heartrate,56,
1610290048431,rr,973,
1610290048431,heartrate,56,
1610290049431,rr,902,
1610290049431,heartrate,56,
1610290050429,rr,882,
1610290050429,heartrate,56,
1610290051426,rr,1067,
1610290051426,heartrate,56,
1610290052422,rr,1184,
1610290052422,heartrate,56,
1610290053421,rr,1110,
1610290053421,heartrate,56,
1610290054419,rr,1008,
1610290054419,heartrate,56,
1610290055416,rr,991,
1610290055416,heartrate,56,
1610290056412,rr,846,
1610290056412,rr,888,
1610290056412,heartrate,56,
1610290057411,rr,950,
1610290057411,heartrate,56,
1610290058409,rr,944,
1610290058409,heartrate,56,
1610290058572,ribcage,1807,1610290057972,
1610290058572,ribcage,1801,1610290058072,
1610290058572,ribcage,1814,1610290058172,
1610290058572,ribcage,1803,1610290058272,
1610290058572,ribcage,1798,1610290058372,
1610290058572,ribcage,1796,1610290058472,
1610290058572,ribcage,1797,1610290058572,
1610290059054,ribcage,1801,1610290058454,
1610290059054,ribcage,1801,1610290058554,
1610290059054,ribcage,1802,1610290058654,
1610290059054,ribcage,1823,1610290058754,
1610290059054,ribcage,1826,1610290058854,
1610290059054,ribcage,1816,1610290058954,
1610290059054,ribcage,1819,1610290059054,
1610290059405,rr,844,
1610290059405,heartrate,56,
1610290059751,ribcage,1814,1610290059151,
1610290059751,ribcage,1808,1610290059251,
1610290059751,ribcage,1811,1610290059351,
1610290059751,ribcage,1806,1610290059451,
1610290059751,ribcage,1808,1610290059551,
1610290059751,ribcage,1801,1610290059651,
1610290059751,ribcage,1802,1610290059751,
1610290060404,rr,875,
1610290060404,heartrate,57,
1610290060451,ribcage,1800,1610290059851,
1610290060451,ribcage,1792,1610290059951,
1610290060451,ribcage,1798,1610290060051,
1610290060451,ribcage,1795,1610290060151,
1610290060451,ribcage,1793,1610290060251,
1610290060451,ribcage,1789,1610290060351,
1610290060451,ribcage,1794,1610290060451,
1610290061154,ribcage,1790,1610290060554,
1610290061154,ribcage,1792,1610290060654,
1610290061154,ribcage,1791,1610290060754,
1610290061154,ribcage,1789,1610290060854,
1610290061154,ribcage,1793,1610290060954,
1610290061154,ribcage,1793,1610290061054,
1610290061154,ribcage,1796,1610290061154,
1610290061401,rr,975,
1610290061401,heartrate,58,
1610290061854,ribcage,1802,1610290061254,
1610290061854,ribcage,1811,1610290061354,
1610290061854,ribcage,1815,1610290061454,
1610290061854,ribcage,1816,1610290061554,
1610290061854,ribcage,1824,1610290061654,
1610290061854,ribcage,1829,1610290061754,
1610290061854,ribcage,1827,1610290061854,
1610290062399,rr,915,
1610290062399,heartrate,59,
1610290062554,ribcage,1833,1610290061954,
1610290062554,ribcage,1839,1610290062054,
1610290062554,ribcage,1847,1610290062154,
1610290062554,ribcage,1839,1610290062254,
1610290062554,ribcage,1847,1610290062354,
1610290062554,ribcage,1840,1610290062454,
1610290062554,ribcage,1828,1610290062554,
1610290063254,ribcage,1829,1610290062654,
1610290063254,ribcage,1820,1610290062754,
1610290063254,ribcage,1820,1610290062854,
1610290063254,ribcage,1820,1610290062954,
1610290063254,ribcage,1818,1610290063054,
1610290063254,ribcage,1808,1610290063154,
1610290063254,ribcage,1799,1610290063254,
1610290063393,rr,834,
1610290063393,rr,797,
1610290063393,heartrate,62,
1610290063951,ribcage,1799,1610290063351,
1610290063951,ribcage,1791,1610290063451,
1610290063951,ribcage,1791,1610290063551,
1610290063951,ribcage,1787,1610290063651,
1610290063951,ribcage,1782,1610290063751,
1610290063951,ribcage,1783,1610290063851,
1610290063951,ribcage,1785,1610290063951,
1610290064390,rr,827,
1610290064390,heartrate,63,
1610290064671,ribcage,1786,1610290064071,
1610290064671,ribcage,1779,1610290064171,
1610290064671,ribcage,1784,1610290064271,
1610290064671,ribcage,1784,1610290064371,
1610290064671,ribcage,1781,1610290064471,
1610290064671,ribcage,1788,1610290064571,
1610290064671,ribcage,1787,1610290064671,
1610290065351,ribcage,1789,1610290064751,
1610290065351,ribcage,1783,1610290064851,
1610290065351,ribcage,1788,1610290064951,
1610290065351,ribcage,1792,1610290065051,
1610290065351,ribcage,1791,1610290065151,
1610290065351,ribcage,1795,1610290065251,
1610290065351,ribcage,1799,1610290065351,
1610290065388,rr,924,
1610290065388,heartrate,65,
1610290065932,abdomen,1741,1610290065332,
1610290065932,abdomen,1724,1610290065432,
1610290065932,abdomen,1717,1610290065532,
1610290065932,abdomen,1718,1610290065632,
1610290065932,abdomen,1717,1610290065732,
1610290065932,abdomen,1714,1610290065832,
1610290065932,abdomen,1719,1610290065932,
1610290066054,ribcage,1811,1610290065454,
1610290066054,ribcage,1818,1610290065554,
1610290066054,ribcage,1830,1610290065654,
1610290066054,ribcage,1841,1610290065754,
1610290066054,ribcage,1841,1610290065854,
1610290066054,ribcage,1846,1610290065954,
1610290066054,ribcage,1845,1610290066054,
1610290066389,rr,807,
1610290066389,heartrate,66,
1610290066509,abdomen,1720,1610290065909,
1610290066509,abdomen,1710,1610290066009,
1610290066509,abdomen,1742,1610290066109,
1610290066509,abdomen,1745,1610290066209,
1610290066509,abdomen,1754,1610290066309,
1610290066509,abdomen,1756,1610290066409,
1610290066509,abdomen,1764,1610290066509,
1610290066755,ribcage,1854,1610290066155,
1610290066755,ribcage,1858,1610290066255,
1610290066755,ribcage,1858,1610290066355,
1610290066755,ribcage,1863,1610290066455,
1610290066755,ribcage,1865,1610290066555,
1610290066755,ribcage,1866,1610290066655,
1610290066755,ribcage,1858,1610290066755,
1610290067209,abdomen,1774,1610290066609,
1610290067209,abdomen,1777,1610290066709,
1610290067209,abdomen,1785,1610290066809,
1610290067209,abdomen,1774,1610290066909,
1610290067209,abdomen,1773,1610290067009,
1610290067209,abdomen,1760,1610290067109,
1610290067209,abdomen,1763,1610290067209,
1610290067387,rr,848,
1610290067387,heartrate,67,
1610290067454,ribcage,1862,1610290066854,
1610290067454,ribcage,1850,1610290066954,
1610290067454,ribcage,1835,1610290067054,
1610290067454,ribcage,1833,1610290067154,
1610290067454,ribcage,1826,1610290067254,
1610290067454,ribcage,1826,1610290067354,
1610290067454,ribcage,1819,1610290067454,
1610290067910,abdomen,1761,1610290067310,
1610290067910,abdomen,1756,1610290067410,
1610290067910,abdomen,1762,1610290067510,
1610290067910,abdomen,1758,1610290067610,
1610290067910,abdomen,1759,1610290067710,
